Works,Author,Birth,Death,Period,Composed,When,Name,CutOff,Amour,Apprentissage,Argent,Armée,Art,Bonheur,Campagne,Camps,Capitalisme,Communisme,Cosaques,Délire-Folie,Dieu,Education,Ennui,Fantastique,Femme,Fonctionnaires,Guerre,Héros,Honneur,Humanisme,Humiliation,Hypocrisie,Individu,Intelligentsia,Jalousie,Jeu,Justice,Liberté,Mal,Marchands,Mariage,Médiocrité,Misère,Mort,Nation,Nature,Nihilisme,Noblesse,Occident,Orgueil,Paresse,Patrie,Paysans,Peuple,Province,Religion,Pouvoir,Responsabilité,Rêve,Révolte,Remords,Révolution,Russie,Servage,Socialisme,Société,Solitude,Souffrance,Traditions,Travail,Vagabondage,Ville,Violence
Et l'Acier fut trempé,N.OSTROVSKI,1904,1936,[1900-1950[,1933,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Adolescent,DOSTOÏEVSKI,1821,1881,[1850-1900[,1875,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L'Affaire des Artamonov,GORKI,1818,1936,[1900-1950[,1925,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Les Ames mortes,GOGOL,1811,1852,[1850-1900[,1839,[1800-1850[,première moitié du XIXe siècle,<=1917,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Anna Karénine,L.TOLSTOÏ,1828,1910,[1900-1950[,1875,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Les Lointaines années,PAOUSTOVSKI,1892,1968,[1950-2000[,1946,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Août Quatorze,SOLJENITSYNE,1918,2008,>2000,1970,[1953-1991[,période soviétique post-stalinienne,>1917,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
À qui la faute?,HERZEN,1812,1870,[1850-1900[,1844,[1800-1850[,première moitié du XIXe siècle,<=1917,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babi Iar,KOUZNETSOV,1929,1979,[1950-2000[,1969,[1953-1991[,période soviétique post-stalinienne,>1917,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Une Banale histoire,TCHEKHOV,1860,1904,[1900-1950[,1889,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Bas-Fonds,GORKI,1818,1936,[1900-1950[,1902,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Les Blaireaux,LEONOV,1899,1994,[1950-2000[,1924,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
Bonheur conjugal,L.TOLSTOÏ,1828,1910,[1900-1950[,1859,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boris Godounov,POUCHKINE,1799,1837,[1800-1850[,1825,[1800-1850[,première moitié du XIXe siècle,<=1917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Le Brigadier,FONVIZINE,1745,1792,<1800,1769,<1800,période ancienne / pré-moderne,<=1917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Carnets d'un Chasseur,TOURGUENIEV,1818,1883,[1850-1900[,1850,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Cavalerie rouge,BABEL,1894,1941,[1900-1950[,1925,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Le Cavalier d'airain,POUCHKINE,1799,1837,[1800-1850[,1833,[1800-1850[,première moitié du XIXe siècle,<=1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
La Cerisaie,TCHEKHOV,1860,1904,[1900-1950[,1904,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Chaussée de Volokolamsk,BECK,1903,1972,[1950-2000[,1944,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Chemin des tourments,A.TOLSTOÏ,1882,1945,[1900-1950[,1931,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Le Chevalier avare,POUCHKINE,1799,1837,[1800-1850[,1830,[1800-1850[,première moitié du XIXe siècle,<=1917,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chez moi,KOUZNETSOV,1929,1979,[1950-2000[,1964,[1953-1991[,période soviétique post-stalinienne,>1917,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Choses vécues et Pensées,HERZEN,1812,1870,[1850-1900[,1860,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronique de famille,AKSAKOV,1791,1859,[1850-1900[,1856,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Cœur de chien,BOULGAKOV,1891,1940,[1900-1950[,1925,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Le Collier d'ambre,POGODINE,1900,1962,[1950-2000[,1960,[1953-1991[,période soviétique post-stalinienne,>1917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Le Convive de pierre,POUCHKINE,1799,1837,[1800-1850[,1830,[1800-1850[,première moitié du XIXe siècle,<=1917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Cosaques,L.TOLSTOÏ,1828,1910,[1900-1950[,1858,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Coup de pistolet,POUCHKINE,1799,1837,[1800-1850[,1830,[1800-1850[,première moitié du XIXe siècle,<=1917,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crime et Châtiment,DOSTOÏEVSKI,1821,1881,[1850-1900[,1866,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
La Dame au petit chien,TCHEKHOV,1860,1904,[1900-1950[,1899,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Dame de pique,POUCHKINE,1799,1837,[1800-1850[,1834,[1800-1850[,première moitié du XIXe siècle,<=1917,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dans les forêts,MELNIKOV-PETCHERSKI,1819,1883,[1850-1900[,1875,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dans les Tranchées de Stalingrad,V.NEKRASSOV,1911,1987,[1950-2000[,1946,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Démon mesquin,SOLOGOUB,1863,1927,[1900-1950[,1902,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Démons,DOSTOÏEVSKI,1821,1881,[1850-1900[,1871,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Destin d'un homme,CHOLOKHOV,1905,1984,[1950-2000[,1957,[1953-1991[,période soviétique post-stalinienne,>1917,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Docteur Jivago,PASTERNAK,1890,1960,[1950-2000[,1954,[1953-1991[,période soviétique post-stalinienne,>1917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Le Don Paisible,CHOLOKHOV,1905,1984,[1950-2000[,1934,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Doubrovski,POUCHKINE,1799,1837,[1800-1850[,1833,[1800-1850[,première moitié du XIXe siècle,<=1917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douce,DOSTOÏEVSKI,1821,1881,[1850-1900[,1876,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Les Douze,BLOK,1880,1921,[1900-1950[,1918,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Les Douze chaises,ILF ET PETROV,1897,1942,[1900-1950[,1928,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Le Duel,KOUPRINE,1870,1938,[1900-1950[,1905,[1905-1917[,crise pré-révolutionnaire,<=1917,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enfance,GORKI,1818,1936,[1900-1950[,1912,[1905-1917[,crise pré-révolutionnaire,<=1917,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enfance et Adolescence,L.TOLSTOÏ,1828,1910,[1900-1950[,1853,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enfantés par la tempête,N.OSTROVSKI,1904,1936,[1900-1950[,1936,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
En gagnant mon pain,GORKI,1818,1936,[1900-1950[,1914,[1905-1917[,crise pré-révolutionnaire,<=1917,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Ennemis,GORKI,1818,1936,[1900-1950[,1906,[1905-1917[,crise pré-révolutionnaire,<=1917,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
Une Ère inconnue commence,PAOUSTOVSKI,1892,1968,[1950-2000[,1956,[1953-1991[,période soviétique post-stalinienne,>1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Un Eté extraordinaire,FEDINE,1892,1977,[1950-2000[,1948,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Eternel mari,DOSTOÏEVSKI,1821,1881,[1850-1900[,1870,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Etoiles du jour,BERGHOLTS,1910,1975,[1950-2000[,1957,[1953-1991[,période soviétique post-stalinienne,>1917,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eugène Onéguine,POUCHKINE,1799,1837,[1800-1850[,1827,[1800-1850[,première moitié du XIXe siècle,<=1917,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Evêque,TCHEKHOV,1860,1904,[1900-1950[,1902,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Une Famille déchue,LESKOV,1831,1895,[1850-1900[,1874,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
La Fille du capitaine,POUCHKINE,1799,1837,[1800-1850[,1836,[1800-1850[,première moitié du XIXe siècle,<=1917,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Fondrières,TENDRIAKOV,1923,1983,[1950-2000[,1956,[1953-1991[,période soviétique post-stalinienne,>1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Frères Karamazov,DOSTOÏEVSKI,1821,1881,[1850-1900[,1880,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Fumée,TOURGUENIEV,1818,1883,[1850-1900[,1867,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Garde blanche,BOULGAKOV,1891,1940,[1900-1950[,1924,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Gel au nez rouge,N.NEKRASSOV,1821,1878,[1850-1900[,1863,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Golovliov,SALTYKOV-CHTCHEDRINE,1826,1889,[1850-1900[,1876,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Le Grand filon,VLADIMOV,1931,2003,>2000,1962,[1953-1991[,période soviétique post-stalinienne,>1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Guerre et Paix,L.TOLSTOÏ,1828,1910,[1900-1950[,1866,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hadji Mourat,L.TOLSTOÏ,1828,1910,[1900-1950[,1900,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Un Héros de notre temps,LERMONTOV,1814,1841,[1800-1850[,1840,[1800-1850[,première moitié du XIXe siècle,<=1917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Histoire d'une ville,SALTYKOV-CHTCHEDRINE,1826,1889,[1850-1900[,1870,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
