Author,Axe 1,Axe 2,Axe 3,Axe 4,Axe 5,Axe 6,Axe 7,Axe 8,Axe 9,Axe 10,Axe 11,Axe 12,Axe 13,Axe 14,Axe 15,Axe 16,Axe 17,Axe 18
MELNIKOV-PETCHERSKI,0.05867360678054226,0.003963597757237085,0.13559701982374792,0.004286462325126726,0.0035781576557971217,0.02039470389928238,0.27233516669675645,0.0008288266367536633,0.2868792823348765,0.02577933499493829,0.0055308016837905165,0.014740160145544266,0.0815959517822987,0.015774443143594493,0.0009008213417500451,0.026290162397499345,0.042644425402359146,0.0002070751981051653
N.OSTROVSKI,0.12548245846663775,0.08683374577347343,0.26285297959748977,0.0029742957926111105,0.0007952859227886406,0.03297200485638321,0.18750072686366814,0.09485088855825864,0.019078349741738634,0.0011125820435149759,0.000794838954698887,0.024245748309012966,0.10653016735276404,7.31707220106462e-06,0.008713421741089928,0.028921748748588105,0.0029153879358193814,0.013418052269261386
PASTERNAK,0.08202827001377215,0.06358737205494236,0.011356608273927482,0.0005612413695265209,0.1723299033398149,0.03402027078296485,0.18101038322537455,0.1583962571150284,0.00863396128750154,0.003538367431223815,0.06683670432697109,0.0911288592082959,0.04201933431203836,0.05428730397864338,0.0023199216424907645,0.005011546524330754,0.0024183459123692883,0.020515349200784096
POLEVOÏ,0.8565137088090504,0.04635622232025465,5.365857775246072e-05,0.00039938076848206673,0.02151303309221207,2.7012980937252407e-06,0.053825232178103664,0.0013186608784325972,0.0013077712290899973,0.011517315017645227,0.0010306106480370669,0.0009079428012172101,4.4473345875858335e-05,0.00019241842271097964,3.5299276752124556e-05,1.4341324817122615e-05,0.003801449287554919,0.0011657807239179706
POUCHKINE,0.09083553133257263,0.08969041286633551,0.05356128136249394,0.30071584813688573,0.02290328192196441,0.08475000769854621,0.05430474788401207,0.004510467563329415,0.031825313604961804,0.12371765513990995,0.0005653653645627694,0.08050634336394578,0.013252208612575098,0.010978957501625542,0.016526090404737213,0.01894697811222577,0.0005716692226177155,0.0018378399066984268
SALTYKOV-CHTCHEDRINE,0.04535073471160036,0.00568657218965385,0.02776069967146908,0.5740402150194859,0.004978276226856559,0.002918620636131662,0.12156433757193076,0.033716173799372154,0.004705540528019999,0.03381925655982452,0.0031412641128267436,0.03459032154356873,0.07659978861683359,0.0017185419815944215,0.01195165881737641,2.609651549508466e-05,0.012438957269841396,0.0049929442281186785
SOLJENITSYNE,0.04065813146366226,0.6310463614902392,0.0010971332680641422,0.0010471772984526517,0.07190802055571709,0.15673581691043595,0.06813111454480257,0.006835478983836144,3.2470916123785156e-05,0.000536219066551,0.00047095823074812287,0.009653686090807214,1.1741142639279704e-05,0.00015244434311274105,0.008752474789539706,0.0028615318641978496,3.1125135394504225e-07,6.892778971621857e-05
SOLOGOUB,0.0038395839241736483,0.05311763194320627,0.3474876385867676,0.0039015272466685976,0.0035584756100377536,0.001429234371010675,0.1712537997417173,0.2424732518110946,0.01623029394357841,0.005923070981285348,0.004490730577930372,0.09100891396030429,0.0002461040362851278,0.0008906047293394718,0.010542915904113201,0.030235777779978306,0.0004992902512149995,0.012871154601293988
TCHEKHOV,0.05778159215581677,0.024602498707780637,0.18660864483079057,0.31797564971093917,0.007819489735082884,3.59829577277939e-05,0.008464995611431539,0.04041664168398692,0.0804884532663927,0.0660879920559793,0.12867726330843393,0.054920074630612305,0.017093911954022014,0.0022942673707106362,0.0007556744284469904,0.0050407174454272,5.1692192168262805e-06,0.000930980927201774
TCHERNYCHEVSKI,0.0120108053076274,0.056241784159240873,0.18343874673478905,0.06527888279202207,0.08541893483074493,0.00010432461159265879,0.09524771131070829,0.07952001175723712,0.026689038615085793,0.060041914291994215,0.12107681207989926,0.010795669392777995,0.003424843238932668,0.02290271297481386,0.14058117593392783,0.00018542947962423535,0.02199853908544359,0.015042663403538176
TENDRIAKOV,0.024088789504821965,0.04972393099186778,0.6666694235017584,0.004056617791730513,0.00018392398561021305,0.02591079180971468,8.639357571330737e-05,0.033933720102419546,0.039410810226988426,0.020436134437277348,0.02438864536794514,0.08026461621702453,0.0013254821063931397,0.0002235316089381943,0.002571313094938237,0.016504791627150323,0.003223652062369135,0.00699743198733911
